temp;statefp;cd115fp;affgeoid;id;state;fr;abr;elu
Minnesota-8;27;8;5001500US2708;2708;Minnesota;Minnesota;MN;D
Mississippi-1;28;1;5001500US2801;2801;Mississippi;Mississippi;MS;R
Mississippi-2;28;2;5001500US2802;2802;Mississippi;Mississippi;MS;D
Mississippi-3;28;3;5001500US2803;2803;Mississippi;Mississippi;MS;R
Mississippi-4;28;4;5001500US2804;2804;Mississippi;Mississippi;MS;R
Missouri-1;29;1;5001500US2901;2901;Missouri;Missouri;MO;D
Missouri-2;29;2;5001500US2902;2902;Missouri;Missouri;MO;R
Missouri-3;29;3;5001500US2903;2903;Missouri;Missouri;MO;R
Missouri-4;29;4;5001500US2904;2904;Missouri;Missouri;MO;R
Missouri-5;29;5;5001500US2905;2905;Missouri;Missouri;MO;D
Missouri-6;29;6;5001500US2906;2906;Missouri;Missouri;MO;R
Missouri-7;29;7;5001500US2907;2907;Missouri;Missouri;MO;R
Missouri-8;29;8;5001500US2908;2908;Missouri;Missouri;MO;R
Montana-0;30;0;5001500US3000;3000;Montana;Montana;MT;R
Nebraska-1;31;1;5001500US3101;3101;Nebraska;Nebraska;NE;R
Nebraska-2;31;2;5001500US3102;3102;Nebraska;Nebraska;NE;R
Nebraska-3;31;3;5001500US3103;3103;Nebraska;Nebraska;NE;R
Nevada-1;32;1;5001500US3201;3201;Nevada;Nevada;NV;D
Nevada-2;32;2;5001500US3202;3202;Nevada;Nevada;NV;R
Nevada-3;32;3;5001500US3203;3203;Nevada;Nevada;NV;D
Nevada-4;32;4;5001500US3204;3204;Nevada;Nevada;NV;D
New Hampshire-1;33;1;5001500US3301;3301;New Hampshire;New Hampshire;NH;D
New Hampshire-2;33;2;5001500US3302;3302;New Hampshire;New Hampshire;NH;D
New Jersey-1;34;1;5001500US3401;3401;New Jersey;New Jersey;NJ;D
New Jersey-10;34;10;5001500US3410;3410;New Jersey;New Jersey;NJ;D
New Jersey-11;34;11;5001500US3411;3411;New Jersey;New Jersey;NJ;R
New Jersey-12;34;12;5001500US3412;3412;New Jersey;New Jersey;NJ;D
New Jersey-2;34;2;5001500US3402;3402;New Jersey;New Jersey;NJ;R
New Jersey-3;34;3;5001500US3403;3403;New Jersey;New Jersey;NJ;R
New Jersey-4;34;4;5001500US3404;3404;New Jersey;New Jersey;NJ;R
New Jersey-5;34;5;5001500US3405;3405;New Jersey;New Jersey;NJ;D
New Jersey-6;34;6;5001500US3406;3406;New Jersey;New Jersey;NJ;D
New Jersey-7;34;7;5001500US3407;3407;New Jersey;New Jersey;NJ;R
New Jersey-8;34;8;5001500US3408;3408;New Jersey;New Jersey;NJ;D
New Jersey-9;34;9;5001500US3409;3409;New Jersey;New Jersey;NJ;D
New Mexico-1;35;1;5001500US3501;3501;New Mexico;Nouveau Mexique;NM;D
New Mexico-2;35;2;5001500US3502;3502;New Mexico;Nouveau Mexique;NM;R
New Mexico-3;35;3;5001500US3503;3503;New Mexico;Nouveau Mexique;NM;D
New York-1;36;1;5001500US3601;3601;New York;New York;NY;R
New York-10;36;10;5001500US3610;3610;New York;New York;NY;D
New York-11;36;11;5001500US3611;3611;New York;New York;NY;R
New York-12;36;12;5001500US3612;3612;New York;New York;NY;D
New York-13;36;13;5001500US3613;3613;New York;New York;NY;D
New York-14;36;14;5001500US3614;3614;New York;New York;NY;D
New York-15;36;15;5001500US3615;3615;New York;New York;NY;D
New York-16;36;16;5001500US3616;3616;New York;New York;NY;D
New York-17;36;17;5001500US3617;3617;New York;New York;NY;D
New York-18;36;18;5001500US3618;3618;New York;New York;NY;D
New York-19;36;19;5001500US3619;3619;New York;New York;NY;R
New York-2;36;2;5001500US3602;3602;New York;New York;NY;R
New York-20;36;20;5001500US3620;3620;New York;New York;NY;D
New York-21;36;21;5001500US3621;3621;New York;New York;NY;R
New York-22;36;22;5001500US3622;3622;New York;New York;NY;R
New York-23;36;23;5001500US3623;3623;New York;New York;NY;R
New York-24;36;24;5001500US3624;3624;New York;New York;NY;R
New York-25;36;25;5001500US3625;3625;New York;New York;NY;D
New York-26;36;26;5001500US3626;3626;New York;New York;NY;D
New York-27;36;27;5001500US3627;3627;New York;New York;NY;R
New York-3;36;3;5001500US3603;3603;New York;New York;NY;D
New York-4;36;4;5001500US3604;3604;New York;New York;NY;D
New York-5;36;5;5001500US3605;3605;New York;New York;NY;D
New York-6;36;6;5001500US3606;3606;New York;New York;NY;D
New York-7;36;7;5001500US3607;3607;New York;New York;NY;D
New York-8;36;8;5001500US3608;3608;New York;New York;NY;D
New York-9;36;9;5001500US3609;3609;New York;New York;NY;D
North Carolina-1;37;1;5001500US3701;3701;North Carolina;Caroline du Nord;NC;D
North Carolina-10;37;10;5001500US3710;3710;North Carolina;Caroline du Nord;NC;R
North Carolina-11;37;11;5001500US3711;3711;North Carolina;Caroline du Nord;NC;R
North Carolina-12;37;12;5001500US3712;3712;North Carolina;Caroline du Nord;NC;D
North Carolina-13;37;13;5001500US3713;3713;North Carolina;Caroline du Nord;NC;R
North Carolina-2;37;2;5001500US3702;3702;North Carolina;Caroline du Nord;NC;R
North Carolina-3;37;3;5001500US3703;3703;North Carolina;Caroline du Nord;NC;R
North Carolina-4;37;4;5001500US3704;3704;North Carolina;Caroline du Nord;NC;D
North Carolina-5;37;5;5001500US3705;3705;North Carolina;Caroline du Nord;NC;R
North Carolina-6;37;6;5001500US3706;3706;North Carolina;Caroline du Nord;NC;R
North Carolina-7;37;7;5001500US3707;3707;North Carolina;Caroline du Nord;NC;R
North Carolina-8;37;8;5001500US3708;3708;North Carolina;Caroline du Nord;NC;R
North Carolina-9;37;9;5001500US3709;3709;North Carolina;Caroline du Nord;NC;R
North Dakota-0;38;0;5001500US3800;3800;North Dakota;Dakota du nord;ND;R
Ohio-1;39;1;5001500US3901;3901;Ohio;Ohio;OH;R
Ohio-10;39;10;5001500US3910;3910;Ohio;Ohio;OH;R
Ohio-11;39;11;5001500US3911;3911;Ohio;Ohio;OH;D
Ohio-12;39;12;5001500US3912;3912;Ohio;Ohio;OH;R
Ohio-13;39;13;5001500US3913;3913;Ohio;Ohio;OH;D
Ohio-14;39;14;5001500US3914;3914;Ohio;Ohio;OH;R
Ohio-15;39;15;5001500US3915;3915;Ohio;Ohio;OH;R
Ohio-16;39;16;5001500US3916;3916;Ohio;Ohio;OH;R
Ohio-2;39;2;5001500US3902;3902;Ohio;Ohio;OH;R
Ohio-3;39;3;5001500US3903;3903;Ohio;Ohio;OH;D
Ohio-4;39;4;5001500US3904;3904;Ohio;Ohio;OH;R
Ohio-5;39;5;5001500US3905;3905;Ohio;Ohio;OH;R
Ohio-6;39;6;5001500US3906;3906;Ohio;Ohio;OH;R
Ohio-7;39;7;5001500US3907;3907;Ohio;Ohio;OH;R
Ohio-8;39;8;5001500US3908;3908;Ohio;Ohio;OH;R
Ohio-9;39;9;5001500US3909;3909;Ohio;Ohio;OH;D
Oklahoma-1;40;1;5001500US4001;4001;Oklahoma;Oklahoma;OK;R
Oklahoma-2;40;2;5001500US4002;4002;Oklahoma;Oklahoma;OK;R
Oklahoma-3;40;3;5001500US4003;4003;Oklahoma;Oklahoma;OK;R
Oklahoma-4;40;4;5001500US4004;4004;Oklahoma;Oklahoma;OK;R
Oklahoma-5;40;5;5001500US4005;4005;Oklahoma;Oklahoma;OK;R
Oregon-1;41;1;5001500US4101;4101;Oregon;Oregon;OR;D
Oregon-2;41;2;5001500US4102;4102;Oregon;Oregon;OR;R
Oregon-3;41;3;5001500US4103;4103;Oregon;Oregon;OR;D
Oregon-4;41;4;5001500US4104;4104;Oregon;Oregon;OR;D
Oregon-5;41;5;5001500US4105;4105;Oregon;Oregon;OR;D
Pennsylvania-1;42;1;5001500US4201;4201;Pennsylvania;Pennsylvanie;PA;D
Pennsylvania-10;42;10;5001500US4210;4210;Pennsylvania;Pennsylvanie;PA;R
Pennsylvania-11;42;11;5001500US4211;4211;Pennsylvania;Pennsylvanie;PA;R
Pennsylvania-12;42;12;5001500US4212;4212;Pennsylvania;Pennsylvanie;PA;R
Pennsylvania-13;42;13;5001500US4213;4213;Pennsylvania;Pennsylvanie;PA;D
Pennsylvania-14;42;14;5001500US4214;4214;Pennsylvania;Pennsylvanie;PA;D
Pennsylvania-15;42;15;5001500US4215;4215;Pennsylvania;Pennsylvanie;PA;R
Pennsylvania-16;42;16;5001500US4216;4216;Pennsylvania;Pennsylvanie;PA;R
Pennsylvania-17;42;17;5001500US4217;4217;Pennsylvania;Pennsylvanie;PA;D
Pennsylvania-18;42;18;5001500US4218;4218;Pennsylvania;Pennsylvanie;PA;D
Pennsylvania-2;42;2;5001500US4202;4202;Pennsylvania;Pennsylvanie;PA;D
Pennsylvania-3;42;3;5001500US4203;4203;Pennsylvania;Pennsylvanie;PA;R
Pennsylvania-4;42;4;5001500US4204;4204;Pennsylvania;Pennsylvanie;PA;R
Pennsylvania-5;42;5;5001500US4205;4205;Pennsylvania;Pennsylvanie;PA;R
Pennsylvania-6;42;6;5001500US4206;4206;Pennsylvania;Pennsylvanie;PA;R
Pennsylvania-7;42;7;5001500US4207;4207;Pennsylvania;Pennsylvanie;PA;R
Pennsylvania-8;42;8;5001500US4208;4208;Pennsylvania;Pennsylvanie;PA;R
Pennsylvania-9;42;9;5001500US4209;4209;Pennsylvania;Pennsylvanie;PA;R
Puerto Rico-98;72;98;5001500US7298;7298;Puerto Rico;Porto Rico;PR;R
Rhode Island-1;44;1;5001500US4401;4401;Rhode Island;Rhode Island;RI;D
Rhode Island-2;44;2;5001500US4402;4402;Rhode Island;Rhode Island;RI;D
South Carolina-1;45;1;5001500US4501;4501;South Carolina;Caroline du Sud;SC;R
South Carolina-2;45;2;5001500US4502;4502;South Carolina;Caroline du Sud;SC;R
South Carolina-3;45;3;5001500US4503;4503;South Carolina;Caroline du Sud;SC;R
South Carolina-4;45;4;5001500US4504;4504;South Carolina;Caroline du Sud;SC;R
South Carolina-5;45;5;5001500US4505;4505;South Carolina;Caroline du Sud;SC;R
South Carolina-6;45;6;5001500US4506;4506;South Carolina;Caroline du Sud;SC;D
South Carolina-7;45;7;5001500US4507;4507;South Carolina;Caroline du Sud;SC;R
South Dakota-0;46;0;5001500US4600;4600;South Dakota;Dakota du Sud;SD;R
Tennessee-1;47;1;5001500US4701;4701;Tennessee;Tennessee;TN;R
Tennessee-2;47;2;5001500US4702;4702;Tennessee;Tennessee;TN;R
Tennessee-3;47;3;5001500US4703;4703;Tennessee;Tennessee;TN;R
Tennessee-4;47;4;5001500US4704;4704;Tennessee;Tennessee;TN;R
Tennessee-5;47;5;5001500US4705;4705;Tennessee;Tennessee;TN;D
Tennessee-6;47;6;5001500US4706;4706;Tennessee;Tennessee;TN;R
Tennessee-7;47;7;5001500US4707;4707;Tennessee;Tennessee;TN;R
Tennessee-8;47;8;5001500US4708;4708;Tennessee;Tennessee;TN;R
Tennessee-9;47;9;5001500US4709;4709;Tennessee;Tennessee;TN;D
Texas-1;48;1;5001500US4801;4801;Texas;Texas;TX;R
Texas-10;48;10;5001500US4810;4810;Texas;Texas;TX;R
Texas-11;48;11;5001500US4811;4811;Texas;Texas;TX;R
Texas-12;48;12;5001500US4812;4812;Texas;Texas;TX;R
Texas-13;48;13;5001500US4813;4813;Texas;Texas;TX;R
Texas-14;48;14;5001500US4814;4814;Texas;Texas;TX;R
Texas-15;48;15;5001500US4815;4815;Texas;Texas;TX;D
Texas-16;48;16;5001500US4816;4816;Texas;Texas;TX;D
Texas-17;48;17;5001500US4817;4817;Texas;Texas;TX;R
Texas-18;48;18;5001500US4818;4818;Texas;Texas;TX;D
Texas-19;48;19;5001500US4819;4819;Texas;Texas;TX;R
Texas-2;48;2;5001500US4802;4802;Texas;Texas;TX;R
Texas-20;48;20;5001500US4820;4820;Texas;Texas;TX;D
Texas-21;48;21;5001500US4821;4821;Texas;Texas;TX;R
Texas-22;48;22;5001500US4822;4822;Texas;Texas;TX;R
Texas-23;48;23;5001500US4823;4823;Texas;Texas;TX;R
Texas-24;48;24;5001500US4824;4824;Texas;Texas;TX;R
Texas-25;48;25;5001500US4825;4825;Texas;Texas;TX;R
Texas-26;48;26;5001500US4826;4826;Texas;Texas;TX;R
Texas-27;48;27;5001500US4827;4827;Texas;Texas;TX;R
Texas-28;48;28;5001500US4828;4828;Texas;Texas;TX;D
Texas-29;48;29;5001500US4829;4829;Texas;Texas;TX;D
Texas-3;48;3;5001500US4803;4803;Texas;Texas;TX;R
Texas-30;48;30;5001500US4830;4830;Texas;Texas;TX;D
Texas-31;48;31;5001500US4831;4831;Texas;Texas;TX;R
Texas-32;48;32;5001500US4832;4832;Texas;Texas;TX;R
Texas-33;48;33;5001500US4833;4833;Texas;Texas;TX;D
Texas-34;48;34;5001500US4834;4834;Texas;Texas;TX;D
Texas-35;48;35;5001500US4835;4835;Texas;Texas;TX;D
Texas-36;48;36;5001500US4836;4836;Texas;Texas;TX;R
Texas-4;48;4;5001500US4804;4804;Texas;Texas;TX;R
Texas-5;48;5;5001500US4805;4805;Texas;Texas;TX;R
Texas-6;48;6;5001500US4806;4806;Texas;Texas;TX;R
Texas-7;48;7;5001500US4807;4807;Texas;Texas;TX;R
Texas-8;48;8;5001500US4808;4808;Texas;Texas;TX;R
Texas-9;48;9;5001500US4809;4809;Texas;Texas;TX;D
Utah-1;49;1;5001500US4901;4901;Utah;Utah;UT;R
Utah-2;49;2;5001500US4902;4902;Utah;Utah;UT;R
Utah-3;49;3;5001500US4903;4903;Utah;Utah;UT;R
Utah-4;49;4;5001500US4904;4904;Utah;Utah;UT;R
Vermont-0;50;0;5001500US5000;5000;Vermont;Vermont;VT;D
Virginia-1;51;1;5001500US5101;5101;Virginia;Virginie;VA;R
Virginia-10;51;10;5001500US5110;5110;Virginia;Virginie;VA;R
Virginia-11;51;11;5001500US5111;5111;Virginia;Virginie;VA;D
Virginia-2;51;2;5001500US5102;5102;Virginia;Virginie;VA;R
Virginia-3;51;3;5001500US5103;5103;Virginia;Virginie;VA;D
Virginia-4;51;4;5001500US5104;5104;Virginia;Virginie;VA;D
Virginia-5;51;5;5001500US5105;5105;Virginia;Virginie;VA;R
Virginia-6;51;6;5001500US5106;5106;Virginia;Virginie;VA;R
Virginia-7;51;7;5001500US5107;5107;Virginia;Virginie;VA;R
Virginia-8;51;8;5001500US5108;5108;Virginia;Virginie;VA;D
Virginia-9;51;9;5001500US5109;5109;Virginia;Virginie;VA;R
Washington-1;53;1;5001500US5301;5301;Washington;Washington;WA;D
Washington-10;53;10;5001500US5310;5310;Washington;Washington;WA;D
Washington-2;53;2;5001500US5302;5302;Washington;Washington;WA;D
Washington-3;53;3;5001500US5303;5303;Washington;Washington;WA;R
Washington-4;53;4;5001500US5304;5304;Washington;Washington;WA;R
Washington-5;53;5;5001500US5305;5305;Washington;Washington;WA;R
Washington-6;53;6;5001500US5306;5306;Washington;Washington;WA;D
Washington-7;53;7;5001500US5307;5307;Washington;Washington;WA;D
Washington-8;53;8;5001500US5308;5308;Washington;Washington;WA;R
Washington-9;53;9;5001500US5309;5309;Washington;Washington;WA;D
West Virginia-1;54;1;5001500US5401;5401;West Virginia;Virginie-Occidentale;WV;R
West Virginia-2;54;2;5001500US5402;5402;West Virginia;Virginie-Occidentale;WV;R
West Virginia-3;54;3;5001500US5403;5403;West Virginia;Virginie-Occidentale;WV;R
Wisconsin-1;55;1;5001500US5501;5501;Wisconsin;Wisconsin;WI;R
Wisconsin-2;55;2;5001500US5502;5502;Wisconsin;Wisconsin;WI;D
Wisconsin-3;55;3;5001500US5503;5503;Wisconsin;Wisconsin;WI;D
Wisconsin-4;55;4;5001500US5504;5504;Wisconsin;Wisconsin;WI;D
Wisconsin-5;55;5;5001500US5505;5505;Wisconsin;Wisconsin;WI;R
Wisconsin-6;55;6;5001500US5506;5506;Wisconsin;Wisconsin;WI;R
Wisconsin-7;55;7;5001500US5507;5507;Wisconsin;Wisconsin;WI;R
Wisconsin-8;55;8;5001500US5508;5508;Wisconsin;Wisconsin;WI;R
Wyoming-0;56;0;5001500US5600;5600;Wyoming;Wyoming;WY;R
